word,meaning
ephemeral,lasting for a very short time
ubiquitous,present everywhere at the same time
serendipity,a pleasant surprise or fortunate accident
mellifluous,sweet or musical; pleasant to hear
quintessential,representing the most perfect example of a quality
pernicious,having a harmful effect, especially in a gradual way
laconic,using very few words
sycophant,a person who flatters others to gain advantage
ostentatious,characterised by vulgar or pretentious display
ineffable,too great to be expressed in words
gregarious,fond of the company of others; sociable
diligent,showing care and effort in one's work or duties
prudent,acting with care and thought for the future
voracious,wanting or devouring great quantities of food
candid,truthful and straightforward; frank
benevolent,well meaning and kindly
arduous,involving or requiring strenuous effort
capricious,given to sudden changes of mood or behaviour
tenacious,tending to keep a firm hold; persistent
verbose,using more words than are needed
